,ts,x,y,z,i,j,k,w
160,160,-0.000823249823647673,0.0008608283324059388,0.1942138299052126,0.002041072495475092,-4.457957397326919e-06,-0.0003693407683861008,0.9999978487929821
161,161,-0.0008232314327663071,0.0008608903066825875,0.19421382971059736,0.002041078333036397,-4.4101534330711945e-06,-0.000369353724936316,0.9999978487764936
162,162,-0.0008232128996800722,0.0008609514370159379,0.19421382941594828,0.0020410841102558573,-4.361949676286345e-06,-0.0003693683420563366,0.999997848759514
163,163,-0.0008231942349379482,0.0008610118111841041,0.19421382903158876,0.0020410898258748987,-4.313376834042387e-06,-0.0003693844391374501,0.9999978487421128
164,164,-0.0008231754481023768,0.0008610715080935755,0.19421382856685804,0.0020410954789822178,-4.264462723319523e-06,-0.0003694018537140143,0.9999978487243512
165,165,-0.0008231565478403777,0.0008611305986796519,0.1942138280302084,0.0020411010689460832,-4.215232540242508e-06,-0.0003694204396417075,0.9999978487062844
166,166,-0.0008231375420057456,0.0008611891467043851,0.1942138274292889,0.002041106595385752,-4.165709102919875e-06,-0.00036944006545618297,0.9999978486879616
167,167,-0.0008231184377184056,0.0008612472094848236,0.1942138267710216,0.0020411120581191318,-4.115913084003928e-06,-0.00036946061289955804,0.9999978486694264
168,168,-0.0008230894149679263,0.0008612946082195112,0.19421386856047632,0.002040714705334864,-4.2973986475062695e-06,-0.00036938455048856136,0.9999978495077264
169,169,-0.0008231848587540073,0.0008615655662492438,0.19421395959697324,0.002040460401928128,-4.543605661450718e-06,-0.00036909337102173197,0.9999978501330828
170,170,-0.0008231951052406657,0.0008617105595539244,0.1942139800653717,0.002040492341621157,-4.569571152382578e-06,-0.000368880234757175,0.9999978501464368
171,171,-0.0008231905683203613,0.0008618539713358229,0.1942139907261924,0.002040499072319955,-4.55880730397585e-06,-0.00036870811619038997,0.9999978501962282
172,172,-0.000823176917158285,0.0008619954469073293,0.19421399504866255,0.002040486704792318,-4.524621601218538e-06,-0.00036855984323514335,0.999997850276278
173,173,-0.0008231625707956957,0.0008621277127346353,0.1942139988074882,0.002040476682924069,-4.488654874833574e-06,-0.0003684312278502919,0.999997850344284
174,174,-0.0008231476851906597,0.0008622518686137946,0.19421400206360448,0.002040468464459611,-4.4511624813677576e-06,-0.0003683193911247462,0.9999978504024192
175,175,-0.0008231322996649903,0.0008623688292859926,0.1942140048559963,0.0020404616834602766,-4.412241839081668e-06,-0.0003682221742691449,0.99999785045223
176,176,-0.000823116462984515,0.00086247936722052,0.1942140072315624,0.002040456102588984,-4.372024638104306e-06,-0.0003681378600204166,0.9999978504948372
177,177,-0.0008231002182870423,0.0008625841533374515,0.19421400923264587,0.0020404515507303515,-4.330631314948592e-06,-0.0003680650196131009,0.999997850531118
178,178,-0.0008230836037745218,0.0008626837789352406,0.19421401089730853,0.002040447895754966,-4.2881707595789405e-06,-0.00036800242754711737,0.9999978505617948
179,179,-0.0008230666535167263,0.0008627787697012068,0.1942140122597953,0.0020404450300640998,-4.244741258420268e-06,-0.00036794901208825136,0.9999978505874828
180,180,-0.0008230493980159608,0.0008628695954079152,0.19421401335091906,0.0020404428626584078,-4.200431418658205e-06,-0.0003679038248023991,0.9999978506087182
181,181,-0.0008230318646372773,0.0008629566771249718,0.1942140141984094,0.00204044131464858,-4.155321053219642e-06,-0.00036786602041606815,0.999997850625973
182,182,-0.0008230140779640336,0.0008630403929282517,0.1942140148272223,0.002040440316578134,-4.1094820273604535e-06,-0.0003678348424630299,0.9999978506396676
183,183,-0.0008229960600960872,0.0008631210826331374,0.194214015259818,0.0020404398067215435,-4.062979032399613e-06,-0.00036780961231699884,0.9999978506501784
184,184,-0.0008229778309084339,0.0008631990518399883,0.1942140155164117,0.002040439729931513,-4.01587029210881e-06,-0.00036778972032778764,0.9999978506578416
